"","Culm_diameter","Culm_length","Culm_number","Grain_length","Grain_width","Grain_weight","Heading_date","Ligule_length","Leaf_length","Leaf_width","Panicle_length","Seedling_height"
"IRIS_313.10873",5,115,14,8.5,2.9,2,77,23,63,1.5,26,68
"IRIS_313.9560",5,148,14,8.5,3,2.4,106,19,58,1.6,27,57
"IRIS_313.8315",5,145,16,10.1,2.8,3,102,21,51,1.6,24,59
"IRIS_313.8585",5,164,10,9.1,3.1,2.7,102,28,67,1.5,29,53
"IRIS_313.10874",5,140,11,8.3,3.7,2.2,81,15,59,1.9,30,48
"IRIS_313.8554",5,142,13,9.1,3,2.2,70,31,56,1.8,32,47
"IRIS_313.10875",5,130,16,7.4,3.5,1.8,70,19,62,1.9,24,53
"IRIS_313.10876",5,122,12,8,2.9,1.8,77,23,66,1.8,31,48
"IRIS_313.10877",6,133,10,9.1,2.7,2,77,28,60,2.2,24,47
"IRIS_313.10878",6,132,11,9.2,2.7,2.2,74,30,65,2.3,29,56
"IRIS_313.10879",5,127,12,8.3,2.9,1.8,77,30,78,1.7,29,58
"IRIS_313.10880",5,117,13,8.6,2.7,1.8,118,23,60,1.2,26,44
"IRIS_313.11256",6,157,15,8.8,2.9,3,114,27,57,1.7,30,41
"IRIS_313.10881",6,148,12,7.2,3.6,2.3,81,11,61,2.2,29,47
"IRIS_313.10882",4,95,11,6.4,2.5,1.4,100,21,65,1.4,20,46
"IRIS_313.10883",4,136,13,10.8,2.9,2.7,86,11,60,1.7,28,51
"IRIS_313.10884",5,86,12,10,3.5,2.9,67,20,60,1.1,20,56
"IRIS_313.9053",5,141,13,8.3,2.4,2.1,102,23,51,1.3,28,44
"IRIS_313.10885",5,131,20,7.8,2.5,1.8,123,23,70,1.2,29,55
"IRIS_313.8967",5,166,11,9.6,2.8,2.3,102,24,76,1.5,30,60
"IRIS_313.10886",5,120,10,6.8,3.6,1.9,81,19,63,1.8,30,52
"IRIS_313.10887",5,152,9,8.9,3,2.4,94,19,68,1.4,29,55
"IRIS_313.10888",4,112,9,10.1,3.3,2.6,70,18,52,2,24,49
"IRIS_313.10889",4,113,13,7.5,3.4,1.9,77,13,45,1.4,25,53
"IRIS_313.11257",5,145,20,9,3,2.9,106,26,62,1.6,28,51
"IRIS_313.11296",7.3,107,15,8.4,2.9,2.3,109,23,53,1.5,24,67
"IRIS_313.10890",5,128,7,7.9,3.6,3.1,81,11,56,2.4,34,59
"IRIS_313.10891",5,148,10,7.7,2.8,1.6,81,21,74,1.8,31,54
"IRIS_313.8603",5,159,10,8.5,3.8,3.1,97,24,81,1.8,29,56
"IRIS_313.10892",4,121,11,7.4,2.7,1.5,70,26,57,1.8,28,41
"IRIS_313.10894",5,151,17,9.2,3.1,2.6,81,25,83,1.5,30,51
"IRIS_313.8382",5,143,13,9.3,3.1,2.8,94,18,58,2.1,30,54
"IRIS_313.10895",5,134,14,6.7,2.5,1.2,81,16,75,1.5,27,45
"IRIS_313.10896",5,120,11,8,2.9,1.6,81,14,65,1.7,28,47
"IRIS_313.10897",5,115,9,6.4,2.4,1.1,88,19,66,1.7,27,24
"IRIS_313.11297",4,104,19,7,3.8,2.3,97,28,54,1.6,27,55
"IRIS_313.11258",7.5,141,26,5.5,2.3,1,107,20,63.2,1.2,30.6,40
"IRIS_313.11259",4,124,20,8.2,3.3,2.3,106,24,59,1.5,33,46
"IRIS_313.8401",5,136,19,9.1,3,2.5,109,27,74,1.7,32,53
"IRIS_313.11298",5,144,20,7.1,3.2,1.9,83,15,57,1.6,22,52
"IRIS_313.11260",4,129,15,8.7,2.9,2.3,92,20,58,1.2,27,53
"IRIS_313.9347",5,126,20,9.5,2.9,2.6,111,24,62,1.5,26,52
"IRIS_313.11261",5,151,15,9.2,3.1,2.3,102,20,63,1.6,25,52
"IRIS_313.8712",5,162,15,8.4,3.6,2.7,106,28,78,1.7,27,56
"IRIS_313.11262",4,126,18,7.8,3.4,2.2,109,17,50,1.1,28,49
"IRIS_313.11263",5,120,14,8.4,3.4,2.9,120,27,70,1.2,22,25
"IRIS_313.11264",4,125,14,9.4,2.5,2.1,108,21,51,1.2,29,50
"IRIS_313.8844",4,106,16,8.1,2.7,2.1,104,21,49,1.1,25,41
"IRIS_313.8994",5,140,16,9.3,2.5,2.2,112,32,73,1.2,30,54
