"","Culm_diameter","Culm_length","Culm_number","Grain_length","Grain_width","Grain_weight","Heading_date","Ligule_length","Leaf_length","Leaf_width","Panicle_length","Seedling_height"
"IRIS_313.10985",4,121,14,8.6,2.4,1.9,90,19,65,0.9,28,25
"IRIS_313.9929",5,89,9,8.3,3.2,3.1,98,19,64,1.7,35,41
"IRIS_313.11203",4,143,18,7.8,2.8,1.8,136,21,71,1.9,23,57
"IRIS_313.11598",3,73,14,8.9,3.1,3.1,80,12,25,1.2,21,54
"IRIS_313.10722",4,121,10,6.8,3.2,1.9,95,11,50,1.5,24,25
"IRIS_313.10771",5,92,11,8.1,3.4,2.6,90,13,69,1.5,24,53
"IRIS_313.10739",6,144,8,8.4,3.2,3,89,18,63,1.7,27,37
"IRIS_313.7885",5,124,12,9,4.4,4.3,90,10,73,1.4,29,57
"IRIS_313.9851",5,88,7,7.7,3.3,2.9,91,15,58,1.8,23,26
"IRIS_313.9139",4,119,19,8.1,2.5,2.2,110,20,59,1.1,25,50
"IRIS_313.10772",5,114,11,8.2,3.2,2.4,127,20,62,1.7,31,50
"IRIS_313.11128",5,167,12,8.3,2.8,2.2,104,18,71,1.4,29,39
"IRIS_313.9433",5,128,19,8.8,3.4,2.9,120,19,47,1.5,24,52
"IRIS_313.11527",5,107,13,9.4,4,3.7,96,10,49,1.2,24,31
"IRIS_313.11652",3,60,13,7.6,3.5,3.2,58,13,33,1.1,18,32
"IRIS_313.11712",4,102,14,9.1,3.1,3,88,20,51,1.4,22,51
"IRIS_313.11557",3,101,15,8.6,3,2.4,80,11,51,1.1,22,50
"IRIS_313.11860",6,107,30,8,3.1,2.1,84,13,43,1.4,24,62
"IRIS_313.11726",5,82,19,7.3,3.2,2.3,104,14,40,1.3,21,34
"IRIS_313.11965",4,52,9,7.7,2.7,2,87,18,43,1.4,21,25
"IRIS_313.11626",4,112,16,6.8,3.1,2.3,88,15,56,0.9,27,39
"IRIS_313.10179",4,91,21,8.4,2.8,2.3,83,16,50,1,19,56
"IRIS_313.10196",5,131,12,10.2,2.8,2.8,99,25,61,1.6,22,55
"IRIS_313.11120",4,122,16,6.5,3.2,1.8,81,16,56,1.3,26,42
"IRIS_313.10989",4,105,19,8.6,3,2.5,96,16,49,1.2,24,27
"IRIS_313.10242",4.6,55,18,9.8,2.6,2.4,67,8,32.8,0.9,18.6,45
"IRIS_313.9472",7,151,19,8.5,3.2,2.8,121,14,55,1.5,31,56
"IRIS_313.10503",5,119,25,8.8,3,2.1,80,18,45,1.2,24,19
"IRIS_313.10694",4,143,11,9.5,2.9,2.5,124,19,58,1.2,26,39
"IRIS_313.10986",4,132,24,8.2,3.3,2.3,90,23,64,1.4,28,27
"IRIS_313.11564",5,165,14,7.4,3.4,2.5,140,23,65,1.4,33,39
"IRIS_313.10721",4,98,17,7.7,3.2,2.6,80,15,51,0.9,21,30
"IRIS_313.9357",5.3,139,22,9.3,2.8,1.4,140,23,63,1.7,26,36
"IRIS_313.10614",5,117,20,8.5,3.2,3.1,101,19,62,1.1,30,30
"IRIS_313.10164",4,76,21,7.4,3.6,2.4,84,11,48,1.3,21,33
"IRIS_313.11015",4,95,16,7.9,2.9,2.3,68,18,47,1.3,23,42
"IRIS_313.11026",4,125,18,10.2,2.4,2.4,84,17,48,1.1,33,38
"IRIS_313.11825",6,148,20,9.5,2.7,2.4,111,21,61,1.3,32,39
"IRIS_313.11129",4,125,14,8.2,2.9,2.1,104,18,60,1.2,33,25
"IRIS_313.10773",5,125,12,9.3,3.5,3.4,94,17,60,1.9,32,38
"IRIS_313.8674",5,135,14,9.6,2.5,2.2,110,15,52,1.6,27,44
"IRIS_313.8722",6,156,13,10.5,3.2,2.8,108,16,70,1.4,26,62
"IRIS_313.9795",4,76,30,7.8,3.1,2.1,105,14,60,1.2,20,17
"IRIS_313.10154",4,94,13,8.5,3,2.4,70,7,37,1.1,21,41
"IRIS_313.10720",5,123,16,9,2.7,2.4,102,18,49,1.2,27,32
"IRIS_313.10774",5,120,12,9.5,3,2.6,111,15,50,1.9,31,50
"IRIS_313.11574",4,86,24,8.6,3.5,2.8,72,11,38,1.3,17,44
"IRIS_313.11861",5.3,89,20,8,2.8,1.8,88,11,53,1.2,22,57
"IRIS_313.11862",5.3,104,30,8.1,2.9,1.9,84,18,41,1.2,22,64
"IRIS_313.11741",5,141,24,8.6,3.1,2.9,112,17,62,1.4,29,42
"IRIS_313.9974",4,75,27,7.2,3.5,2.4,80,10,26,1,15,33
"IRIS_313.11112",5,137,19,9,3.6,2.8,85,19,55,1.5,26,38
"IRIS_313.11826",6,144,17,6.2,2.5,1.1,118,23,57,1,24,35
"IRIS_313.8751",5,126,12,9.5,2.6,2.3,98,19,67,1.4,26,33
"IRIS_313.11892",6,123,7,8.7,3.2,2.2,112,14,54,1.8,27,51
"IRIS_313.10020",4,128,19,7.9,2.7,2,99,25,55,1.2,26,39
"IRIS_313.10824",5,146,16,9.3,2.7,2.6,108,33,63,1.4,31,19
"IRIS_313.10056",3.3,52,32,7.5,3.3,2.6,52,7,24,0.8,14,36
"IRIS_313.9228",3,62,21,7.3,3.3,2.7,72,6,31,1,18,35
"IRIS_313.9617",5,142,12,8.3,3.3,2.5,112,15,49,1.5,25,36
"IRIS_313.8721",5,94,19,8,2.8,2.4,92,14,40,1,24,49
"IRIS_313.11863",6,93,33,8,3.1,2.2,82,21,47,1.5,22,60
"IRIS_313.11909",4,118,15,8.1,3.1,2.2,79,16,50,1,21,52
"IRIS_313.11575",3,85,21,8,3.3,2.4,74,7,34,1.1,21,26
"IRIS_313.11727",5,56,29,7.7,2.8,2.3,70,12,31,1,21,27
"IRIS_313.11948",6,114,26,8,3.3,2.4,82,19,52,1.1,21,56
"IRIS_313.10353",3.3,50,21,8.2,3.1,2.8,71,17,31.8,0.9,20.4,28
"IRIS_313.10531",5,112,25,9.5,2.3,2.1,94,30,77,1.2,31,21
"IRIS_313.10507",5,75,10,9.3,3.5,2.9,71,9,31,1.1,18,15
"IRIS_313.10504",5,82,20,8.4,3,2.1,74,14,38,1.1,22,24
"IRIS_313.11695",4,131,13,8.3,3,2.4,88,12,45,0.9,22,52
"IRIS_313.11980",4,36,15,6.3,3.1,2.2,90,15,34,1.9,20,25
"IRIS_313.9602",5,150,15,10.1,3,3,100,23,63,1.4,20,55
"IRIS_313.11130",5,140,14,10.3,3.2,3.1,116,20,68,1.6,28,26
"IRIS_313.12054",4.3,59,21,7.5,3.2,2.5,69,14,42,1,16.2,30
"IRIS_313.9886",4,68,9,6.9,3.4,2.3,60,12,32,1.1,16,21
"IRIS_313.11865",5.3,75,25,7.5,2.9,2,68,15,36,1.4,20,33
"IRIS_313.10966",4,83,23,9,3.2,2.7,68,20,57,0.9,24,28
"IRIS_313.9379",4,74,21,6.7,3.4,2,80,9,33,1.1,18,20
"IRIS_313.11159",6,76,13,8.8,3.2,2.3,104,8,39,1,18,39
"IRIS_313.11943",5.3,136,18,8.1,3.1,2.6,84,24,50,1.2,27,46
"IRIS_313.11944",3.7,104,15,8.6,2.9,2.8,83,19,43,1,23,41
"IRIS_313.9758",6,107,25,6.8,3.3,1.7,71,17,50,1.3,23,20
"IRIS_313.10271",5.1,71,20,9.7,2.7,2.5,92,15,37.6,1.8,26,36
"IRIS_313.11238",7.2,101,9,9.2,2.9,3.1,92,10,44,1,24.2,40
"IRIS_313.10541",5,112,20,9.6,2.7,2.4,83,13,57,1.4,22,20
"IRIS_313.10834",4,84,17,8.9,3.2,2.4,74,13,38,0.7,19,26
"IRIS_313.10967",4,101,20,7.9,3.1,2.2,72,13,61,1.3,22,24
"IRIS_313.11914",5.6,122,14,10.7,2.6,2.6,109,23,55,1.3,25,46
"IRIS_313.11494",5,115,13,7.8,3.4,2.2,93,16,52,1.9,24,33
"IRIS_313.10274",4.4,62,20,8.7,2.4,2.2,77,13,32.6,0.9,25.2,28
"IRIS_313.10275",5.7,80,25,9.4,2.5,2.6,87,17,35.8,1.9,22.8,29
"IRIS_313.8978",8.9,122,10,8.1,2.9,1.9,157,22,63.6,1.3,28.4,47
"IRIS_313.10577",6,120,10,9.6,3.8,2.1,108,15,82,1.9,34,30
"IRIS_313.10968",4,107,21,8.2,3.1,2.5,68,18,51,1.3,25,28
"IRIS_313.10828",5,88,11,7.7,3.5,2,77,11,50,1.9,25,36
"IRIS_313.9366",5,100,10,8.9,3.5,2.3,87,9,41,1.3,21,22
"IRIS_313.10829",4,67,9,8.2,3.1,2.2,77,12,48,1.6,22,36
"IRIS_313.11335",5,157,13,8,3.7,2.6,92,22,67,1.3,27,58
"IRIS_313.10830",4,115,12,7.9,2.9,1.8,77,13,59,1.6,26,34
"IRIS_313.10775",5,139,16,9.3,3.1,2.7,128,25,63,1.1,31,54
"IRIS_313.10969",5,106,19,8.5,3.1,2.8,68,19,73,1.7,22,23
"IRIS_313.11394",5,127,16,9.6,2.9,3,126,28,53,1.1,27,58
"IRIS_313.11395",5,123,14,8.2,2.4,1.6,136,18,53,1.4,23,49
"IRIS_313.10844",5,109,10,7.7,3,1.7,127,24,56,1.6,24,33
"IRIS_313.9405",5,147,15,8.5,3.5,2.7,102,13,72,2,25,51
"IRIS_313.10314",5.6,86,28,9,2.5,2.2,106,20,44.2,1.1,26,20
"IRIS_313.10307",5.7,77,21,9.3,2.4,2,87,25,38.6,2,21.6,25
"IRIS_313.9616",6,102,10,5.7,3.2,1.6,124,13,59,1.7,23,38
"IRIS_313.10167",4,76,19,9.3,2.4,2.5,84,21,46,1,21,25
"IRIS_313.7684",4,60,19,8.9,2.4,2.1,75,14,39,1,25,30
"IRIS_313.11122",4,79,13,10,2.5,2.4,96,18,48,1.3,21,35
"IRIS_313.11887",5,75,22,8.9,2.5,2.3,89,19,44,1.5,24,33
"IRIS_313.11979",4,53,16,9.1,2.2,2.2,104,19,50,1.1,26,28
"IRIS_313.7685",4,58,24,9,2.1,2.2,86,16,40,1.3,22,30
"IRIS_313.8392",4,73,15,9.4,2.7,2.6,75,22,37,1.2,25,27
"IRIS_313.9044",4,64,13,8.6,2.7,2.1,101,17,45,1.3,24,31
"IRIS_313.10294",3.7,78,28,8.9,2.4,2.4,87,13,40,1.7,26.4,19
"IRIS_313.7688",4,83,16,9.3,2.6,2.5,94,18,47,1.7,23,34
"IRIS_313.7689",4,68,21,8.9,2.4,2.4,87,21,40,1.1,25,28
"IRIS_313.7690",3,71,17,10,2.8,2.3,75,23,48,1,22,39
"IRIS_313.7691",4,84,10,9.5,2.5,2.4,69,22,38,1,24,27
"IRIS_313.10355",5.4,80,19,8.2,2.4,1.5,102,14,40.4,1.2,22.6,32
"IRIS_313.11516",4,84,17,9.5,3.1,2.7,90,13,40,1.2,19,18
"IRIS_313.11517",4,74,24,10,3.4,3.4,102,11,39,1.1,26,18
"IRIS_313.11251",4,63,19,8.4,3.1,2.5,106,20,49,1.5,21,29
"IRIS_313.11249",4,86,21,9.7,2.6,2.4,106,19,51,1.5,25,28
"IRIS_313.11886",5,108,17,9.2,2.5,2.2,113,23,60,1.5,30,33
"IRIS_313.10357",7.5,79,14,9.6,2.6,2.6,105,25,56.8,1.4,30.8,34
"IRIS_313.10359",5.6,98,10,8.6,2.7,2.5,104,17,46.4,1.4,22.8,43
"IRIS_313.8616",4,85,33,8.6,2.4,2.4,89,19,44,1.5,21,30
"IRIS_313.10360",7.1,103,12,9.4,2.4,2.5,106,17,48.6,1.3,24.4,39
"IRIS_313.8232",6.2,90,11,10,2.9,2.7,78,13,45.5,1.4,27.4,40
"IRIS_313.10361",6.1,71,19,8,3,2.5,90,15,40.8,1.3,23.6,33
"IRIS_313.10366",3.6,68,21,9.1,2.4,2.2,76,18,32.8,0.8,22.4,31
"IRIS_313.10371",6.5,92,12,8.9,2.7,2.4,105,15,41.4,1.4,24.4,40
"IRIS_313.10373",3.7,65,16,7.1,3.1,2.3,70,11,32.8,0.8,19.8,33
"IRIS_313.10374",6.5,88,16,8.4,2.4,1.7,95,17,51,1.6,24.4,33
"IRIS_313.10375",6.9,132,18,8.4,2.7,2.6,96,17,54.4,1.2,24.6,50
"IRIS_313.10379",3.7,68,16,6.9,3.1,2.2,74,12,29.8,0.7,22,33
"IRIS_313.10380",3.2,65,15,7,3.2,2.2,73,10,33.6,0.7,21.6,33
"IRIS_313.10385",5.9,89,25,9.7,2.2,2.2,94,21,45.4,1,26.2,34
"IRIS_313.10392",6.4,88,16,9.2,2.3,2.2,114,19,40,1.6,26.4,33
"IRIS_313.10394",6.7,106,16,8.7,2.9,2.1,94,14,47.6,1.1,21.6,36
"IRIS_313.10396",7.2,95,16,8.8,2.6,1.9,94,24,58.8,1.7,22.8,34
"IRIS_313.11250",4,71,18,9,3.3,2.8,109,19,50,1.4,21,32
"IRIS_313.11385",3,51,14,9,2.8,2.5,76,11,27,0.8,19,29
"IRIS_313.9978",4,73,25,8.1,3.6,2.8,94,10,42,1,20,17
"IRIS_313.11336",5,121,16,8,3.6,2.9,96,14,54,1.3,22,49
"IRIS_313.10397",6.6,55,25,10,2.2,2.2,77,17,39.4,1,25.8,44
"IRIS_313.10398",4.5,65,20,9.7,2.2,2.1,76,15,35,0.9,25.4,45
"IRIS_313.10399",8,98,18,7.8,2.8,2.1,113,20,43,1.9,23.6,36
"IRIS_313.10400",4.9,79,15,9.1,2.3,2.1,87,21,43,1.2,21,37
"IRIS_313.10401",5.6,56,21,9.9,2.3,2.5,76,15,35.6,1,26.2,42
"IRIS_313.10402",6,73,17,8.8,2.3,2.2,95,16,38,1,23.8,40
"IRIS_313.10403",5.9,107,18,9.2,2.5,2.8,92,17,45.6,1.3,24.8,41
"IRIS_313.10301",4.5,63,22,10,2.4,2.1,82,4,47.4,0.5,22.8,39
"IRIS_313.9922",4,64,16,8,2.9,2.5,80,18,40,1.4,21,30
"IRIS_313.11432",5,118,15,8.7,3.2,2.4,110,26,62,1.4,25,40
"IRIS_313.11930",5,78,22,9.5,2.6,2.2,99,17,42,1.4,19,38
"IRIS_313.11713",4,79,15,9.6,2.7,2.3,126,13,42,1.2,21,23
"IRIS_313.11537",5,123,13,8.2,3.5,2.7,84,14,45,1.8,20,45
"IRIS_313.11538",4,78,27,7.6,3.1,2.3,76,13,31,1,25,34
"IRIS_313.8410",4,103,12,7.8,3,2.2,84,22,52,1.2,23,31
"IRIS_313.11627",4,129,13,7.2,3.2,2.7,92,21,50,1.3,29,34
"IRIS_313.10065",5,70,14,8.5,3.6,3.1,72,9,35,1.2,20,47
"IRIS_313.8252",4,108,24,7.9,2.8,2,72,16,40,1,20,50
"IRIS_313.11360",5,140,12,8.2,3,2.5,124,21,51,1.6,25,57
"IRIS_313.9449",6,93,18,8.9,2.8,2.4,82,18,48,1.1,26,48
"IRIS_313.8815",4,112,11,7.7,2.9,1.9,82,19,46,1.3,20,42
"IRIS_313.9251",6.3,157,24,6.8,3,1.9,139,17,56,1.7,24,29
"IRIS_313.11530",5,128,13,10.5,3.1,3.4,124,15,59,1.5,26,52
"IRIS_313.8679",7,132,25,9.6,2.9,3.3,136,18,55,1.4,28,45
"IRIS_313.11327",6,175,12,10.6,3.1,3.3,117,25,54,2.2,26,57
"IRIS_313.9790",5,76,15,8.3,3.3,2.8,70,10,37,1.2,18,20
"IRIS_313.10702",5.8,148,11,9.6,2.2,1.9,153,20,70.5,1.4,29.9,50
"IRIS_313.11322",5,135,19,7.9,3.3,2.6,88,23,59,1.3,22,33
"IRIS_313.11717",4,88,12,8.8,3.2,2.8,132,25,53,1.5,23,26
"IRIS_313.8326",5,119,20,6.2,3.2,1.6,101,15,50,1.2,30,19
"IRIS_313.8385",6,120,20,6.4,3.1,1.5,109,18,72,1.7,31,26
"IRIS_313.9629",6,127,20,6.8,2.5,1,115,26,67,1.1,34,24
"IRIS_313.10951",5,133,13,8.4,2.4,2,134,25,70,1.8,30,23
"IRIS_313.10067",5,70,16,9.3,3.5,3.2,67,6,29,1,17,42
"IRIS_313.9262",4,135,18,8.9,2.9,2.2,103,18,56,1.4,28,39
"IRIS_313.11323",5,117,26,7.8,2.9,2.5,88,17,57,1.4,22,29
"IRIS_313.10981",5,128,17,7.7,3.2,2.6,75,22,49,1.2,22,31
"IRIS_313.11866",4.7,72,29,7.6,3.1,2.2,84,14,35,1.3,22,40
"IRIS_313.11576",3,97,24,9,2.9,2.3,72,14,51,0.7,19,28
"IRIS_313.11802",4,118,17,8.6,3.3,2.8,89,22,55,1.2,25,51
"IRIS_313.11665",3,54,12,9,3.2,3,84,9,38,1.2,25,35
"IRIS_313.8405",4,97,22,8,2.9,2.1,88,21,53,1.2,23,34
"IRIS_313.10096",2.3,57,15,7.8,3.1,2.5,58,7,23,0.9,14,31
"IRIS_313.8683",5,96,14,7.9,2.2,1.9,143,15,44,0.9,24,35
"IRIS_313.11622",4.3,64,28,7,2.9,2.4,76,9,28,1,19.4,30
"IRIS_313.11599",4,96,15,9.2,2.5,2.4,82,12,38,1,18,45
"IRIS_313.10279",5.1,72,22,10.3,2.6,2.9,96,19,37,1.4,27.6,23
"IRIS_313.11956",4.3,96,17,7.8,3.2,2.2,84,12,40,1.1,20,58
"IRIS_313.11505",5,128,14,8.6,3,2.6,110,23,62,1.2,25,35
"IRIS_313.11155",4,62,14,7.8,3,2.5,80,10,34,1.5,22,26
"IRIS_313.11506",5,91,18,7.6,3.3,2.7,119,15,44,1.4,21,41
"IRIS_313.11197",4,80,12,8.3,2.7,2,67,15,42,1.2,20,52
"IRIS_313.8277",5,103,17,9.5,3.6,3.6,101,14,54,1.8,25,37
"IRIS_313.11759",5,104,17,8.8,3.1,2.6,102,11,55,1.7,27,39
"IRIS_313.10404",3.7,88,21,8.3,2.7,2.7,69,10,45.8,0.9,26,45
"IRIS_313.11198",4,90,16,8,3.5,2.3,67,8,38,1.2,19,39
"IRIS_313.10654",4,81,14,10.8,2.9,2.2,76,22,52,1.1,25,54
"IRIS_313.9314",5,120,12,10.3,2.8,2.8,103,22,67,1.6,30,32
"IRIS_313.10776",5,100,12,8.3,3.6,2,83,9,58,2,26,52
"IRIS_313.11722",3,63,17,8.2,2.6,1.8,88,18,39,1,22,25
"IRIS_313.11084",5,138,12,10.4,2.9,3.1,111,16,44,1.7,28,54
"IRIS_313.11016",4,96,14,8.1,2.7,1.9,82,18,46,1,23,46
"IRIS_313.9208",4,170,13,8.7,3.1,2.4,157,20,60,1.5,27,48
"IRIS_313.11168",4,116,13,9.3,2.6,3.3,77,19,62,1.5,23,51
"IRIS_313.11211",5,145,12,9.1,3.3,3.2,128,20,64,1.1,29,57
"IRIS_313.11959",7,168,22,8.6,3.4,2.9,130,31,71,1.3,28,65
"IRIS_313.10662",5,118,33,8.3,3.3,2.6,67,19,67,1.3,26,42
"IRIS_313.9800",6,88,10,8.5,3.6,2.9,93,18,60,1.5,27,29
"IRIS_313.10574",6,145,25,8.2,3.3,2.3,158,29,74,1.2,29,31
"IRIS_313.7933",3,70,17,7.6,3.4,2.8,68,11,40,1.3,21,32
"IRIS_313.11113",5,133,13,9.3,3.4,2.8,103,23,67,1.5,28,45
"IRIS_313.10973",5,141,11,8.3,3.3,2.6,98,28,60,1.4,30,29
"IRIS_313.11115",5,140,15,8.2,3.6,2.2,120,29,60,1.7,24,33
"IRIS_313.9391",4,121,16,8.2,3.2,3.2,127,19,58,1.4,23,27
"IRIS_313.11324",4.8,111,18,7.6,3.2,2.7,74,14,44.8,1,27,36
"IRIS_313.11097",5,77,14,7.4,3.3,1.7,85,21,60,1.5,24,40
"IRIS_313.11131",3,113,22,8.5,3.7,3.1,75,27,56,1.1,23,38
"IRIS_313.11132",5,148,16,8.1,3.4,2.6,104,19,61,1.7,26,32
"IRIS_313.10537",5,120,25,7.3,3.3,2.1,131,37,65,1.3,25,18
"IRIS_313.10025",5,107,19,7.7,3.3,1.7,81,9,36,1.1,22,37
"IRIS_313.11413",4,112,15,7.5,3,2.6,98,7,54,1.4,25,41
"IRIS_313.9626",4,112,18,8.9,3.1,2.4,77,22,55,1.1,19,50
"IRIS_313.11742",4,66,20,7.7,2.8,2.3,72,9,36,0.9,18,40
"IRIS_313.11067",4,131,21,8.3,3.1,2.7,68,13,55,1,22,47
"IRIS_313.11361",4,128,15,9.1,2.9,2.2,96,20,70,1.5,15,50
"IRIS_313.10089",3,58,8,7.6,4,3.5,68,10,37,1,17,35
"IRIS_313.11476",4,62,17,7.8,2.8,2,56,17,34,1,17,33
"IRIS_313.11451",6,130,29,8.3,2.5,1.6,123,19,59,1.2,28,54
"IRIS_313.9218",5,149,22,7.9,3,2.6,122,21,68,1.1,26,43
"IRIS_313.11212",5,150,11,8.6,3.2,2.5,128,14,73,1.1,28,62
"IRIS_313.8968",5,98,16,7.8,3.2,2.4,96,19,39,1.1,25,56
"IRIS_313.11489",5,91,20,9.2,3.3,2.4,95,16,42,1.5,21,39
"IRIS_313.9019",5,147,15,9.7,3.1,3.3,135,21,54,1.6,28,39
"IRIS_313.8302",4,70,8,8.3,3.3,3.1,76,16,32,1.2,18,54
"IRIS_313.8857",4,103,11,7.9,2.7,2.1,82,20,50,1,19,51
"IRIS_313.9669",5,115,15,9,3.3,3.1,134,21,44,1.7,25,39
"IRIS_313.10902",4,132,15,8.3,2.7,2.2,139,20,52,1.3,27,26
"IRIS_313.11939",6.4,138,19,9.8,2.6,2.9,120,22,65.2,1.7,25.4,52
"IRIS_313.10974",4,117,15,8.1,3.1,2.4,104,29,56,1.3,29,34
"IRIS_313.10925",4,113,11,8.8,2.9,2.2,76,15,60,1.5,24,36
"IRIS_313.11169",4,97,14,7.6,3.6,1.9,83,26,64,1.3,28,46
"IRIS_313.11934",5.3,112,9,9.6,3.3,3.1,97,13,53,1.4,25,31
"IRIS_313.11888",6,116,16,10.6,2.9,2.7,80,17,53,1.4,24,50
"IRIS_313.11477",4,88,12,9.1,2.8,1.6,78,21,60,1.1,25,45
"IRIS_313.9249",5,136,11,9.9,3.1,2.9,112,21,58,1.7,28,38
"IRIS_313.11623",4.5,91,8,8.7,3.7,3.3,77,17,40.6,1.5,24,39
"IRIS_313.10617",3,35,15,7.9,3.7,2.4,88,7,25,0.7,13,21
"IRIS_313.11458",4,86,23,8.2,3.2,2.2,72,18,50,1.1,20,44
"IRIS_313.11963",5,89,30,7.9,3,2.3,86,13,53,1,19,54
"IRIS_313.9461",6,140,25,9.2,2.7,2.2,119,33,79,1.5,30,36
"IRIS_313.11827",5,139,15,9.1,2.6,1.5,116,21,74,1.6,25,49
"IRIS_313.10545",4,121,30,8.8,3.5,3,105,17,70,1.1,25,26
"IRIS_313.11204",6.3,136,17,7.7,2.8,2.2,118,30,61,1.4,29,62
"IRIS_313.11414",4,104,16,8.8,2.8,2.2,80,15,47,1.2,24,33
"IRIS_313.10718",3,113,17,7.3,2.9,2.2,77,22,51,1.2,22,36
"IRIS_313.10963",4,121,17,8.5,2.7,2.4,65,16,65,1.2,23,21
"IRIS_313.11463",4,108,12,9,3.2,2.6,78,21,55,1.4,22,64
"IRIS_313.11779",6,133,19,9.2,3,2.4,139,20,61,1.5,30,45
"IRIS_313.8285",5.3,69,17,9.1,2.3,1.8,102,9,43,1.2,24,51
"IRIS_313.11415",7,110,10,8.3,3.2,2.9,110,5,48.6,1.5,26.6,69
"IRIS_313.11040",5,141,19,8.9,3.1,2.4,156,20,56,1.2,27,32
"IRIS_313.10575",6,129,20,8.6,3.9,2.3,118,17,66,1.4,31,35
"IRIS_313.11117",5,115,9,8.4,2.9,2,85,15,59,2,24,33
"IRIS_313.11205",5,148,13,8.9,3.2,3,146,22,73,1.4,29,61
"IRIS_313.11867",4.3,96,29,8.4,2.7,2.1,86,15,42,1.2,24,65
"IRIS_313.10825",5,116,25,8.2,3,2.6,108,41,68,1.2,28,27
"IRIS_313.11319",5,129,14,8.7,2.9,2,134,21,56,1.6,28,46
"IRIS_313.8439",4,117,12,9,3.2,3.3,106,24,54,1.5,29,40
"IRIS_313.10778",7.1,135,17,7.9,2.8,2,133,22,66.8,1.6,21.2,43
"IRIS_313.11090",5,149,11,10.3,3.5,3.3,112,24,73,1.9,25,47
"IRIS_313.10779",4,157,18,9.5,2.3,2.3,115,19,57,1.7,27,25
"IRIS_313.8687",5,123,13,8.1,3.6,2.9,96,14,51,1.4,19,23
"IRIS_313.9329",5,145,16,8.6,2.7,2.4,123,24,73,1.8,27,20
"IRIS_313.9301",6,123,15,9.7,3.1,3.4,116,17,60,1.9,26,36
"IRIS_313.10936",5,135,14,9.9,2.8,2.3,115,18,69,1.6,34,17
"IRIS_313.8831",5,126,17,8,2.9,2.2,124,23,71,2,24,37
"IRIS_313.10780",5,151,12,8.6,3.2,2.6,115,20,72,2.3,35,30
"IRIS_313.11183",5,113,13,9.6,3.4,3.2,116,16,62,1.5,28,61
"IRIS_313.10152",6,116,11,9.8,3,2.8,98,11,66,2.1,30,23
"IRIS_313.10781",5,170,11,9.8,3.4,2.8,106,20,56,2.3,30,34
"IRIS_313.10841",5,126,12,9.5,3.6,2.8,103,24,71,2.2,35,46
"IRIS_313.10782",5,160,9,9.7,3.1,2.9,106,22,79,1.6,33,35
"IRIS_313.10783",5,160,16,8.9,3.3,2.7,115,17,50,1.7,29,29
"IRIS_313.10740",5,137,9,9.8,3.3,3.4,115,16,65,2.2,34,37
"IRIS_313.10741",5,137,9,9.5,3.3,3.2,115,16,64,2.2,30,35
"IRIS_313.10784",5,169,12,9.6,3.2,2.9,106,15,60,2,31,34
"IRIS_313.9590",5,128,20,8.4,2.8,2,100,20,70,1.5,25,36
"IRIS_313.10785",5,149,14,9.9,3.6,3.6,99,20,64,2.1,32,35
"IRIS_313.10786",4,162,16,9.4,3.3,3,115,18,64,2,33,33
"IRIS_313.11362",4,124,20,6.7,2.3,1.1,106,22,62,1.1,20,37
"IRIS_313.10754",4,52,21,8.1,3.1,1.4,85,17,33,1.5,23,27
"IRIS_313.11486",4,123,22,7.9,3.4,2.6,108,15,44,1.2,20,37
"IRIS_313.10679",5,98,6,9.7,4,3.6,69,18,53,1.8,28,39
"IRIS_313.11216",5,202,11,8.1,3.4,2.7,114,17,68,1.9,28,59
"IRIS_313.10524",6,143,25,10.4,3,3,163,24,70,1.3,29,32
"IRIS_313.9567",6,175,17,10.3,3,2.8,157,16,55,1.4,30,62
"IRIS_313.11073",5,127,13,9.5,3.4,3.2,96,20,83,1.6,29,39
"IRIS_313.8253",4,150,13,10.8,2.6,2.9,103,21,65,1.5,28,32
"IRIS_313.11386",5,148,30,10.3,2.6,2.5,131,26,71,1.6,27,20
"IRIS_313.11921",6.7,140,9,9.8,2.9,3.2,139,21,59.8,1.4,28,44
"IRIS_313.9032",4,72,8,9,2.8,2.6,84,13,40,1.5,20,22
"IRIS_313.11085",5,97,18,9.8,3.5,2.2,69,33,60,1.3,25,36
"IRIS_313.9281",5,95,16,9.4,3,3.3,119,15,46,1.3,26,34
"IRIS_313.9121",5,160,18,10,3.1,3,132,24,60,1.9,28,30
"IRIS_313.11074",5,162,11,10.1,3.1,3,112,21,62,1.7,25,39
"IRIS_313.11075",4,112,13,8.8,3.8,3.2,94,11,39,1.2,22,27
"IRIS_313.11091",4,135,18,10.3,3.3,2.7,78,33,69,1.7,29,44
"IRIS_313.11092",4,117,16,9.9,2.8,2.5,78,32,70,1.5,27,44
"IRIS_313.11194",6,190,17,10.4,3.1,2.5,142,24,72,1.6,26,57
"IRIS_313.10921",5,102,14,9,3.1,2.7,84,25,45,1.1,26,54
"IRIS_313.8870",7.1,143,11,9.1,2.7,2.3,136,17,55.8,1.5,28.6,47
"IRIS_313.9198",4,128,16,9.8,2.7,2.2,77,26,53,1.2,23,25
"IRIS_313.8702",7,143,18,8.7,2.6,2.2,139,18,66,1.5,27,37
"IRIS_313.11962",6.9,135,13,9.9,2.5,2.8,136,21,51,1.4,29.4,46
